Compte_key_Payeur,client_total_montant,client_moy_montant_cheque,client_max_montant_cheque,client_min_montant_cheque,client_freq_transactions,client_nb_operations_distinctes,client_recence,client_nb_paiements_fractionnes_records,client_score_fragmentation,Segment,pca1,pca2,Cluster_Hc_client,Niveau_Risque_hc_client,Cluster_Kmeans_client,Niveau_Risque_Kmeans_client
1246638,3000.0,400.0,600.0,200.0,7,2,0,2,3.5,Particulier,-0.5638287849841548,-0.4216006805149313,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1246659,1401.774,467.258,467.258,467.258,3,1,260,1,3.0,Particulier,-0.8145071680759941,-0.7821650602909037,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1246719,6939.216,294.4334,361.75,72.225,23,5,26,5,4.6,Particulier,0.26284049000847604,0.6653853160050373,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1246733,639.0,213.0,213.0,213.0,3,1,355,1,3.0,Particulier,-0.9070850734642,-0.6957230950045237,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1246825,1169.268,389.756,389.756,389.756,3,1,446,1,3.0,Particulier,-0.8427264289189046,-0.7558161344218061,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1246912,680.0,53.333333333333336,70.0,40.0,13,3,57,3,4.333333333333333,Particulier,-0.3886963295189554,0.0690174070019878,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1246936,1280.0,256.0,256.0,256.0,5,1,217,1,5.0,Particulier,-0.7981730274447186,-0.5849063293756831,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1246994,14000.0,1500.0,2000.0,1000.0,10,2,242,2,5.0,Particulier,-0.02115527043297953,-0.6687071928761925,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1247005,600.0,200.0,200.0,200.0,3,1,48,1,3.0,Particulier,-0.9118185047428488,-0.6913033892382433,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1247035,600.0,200.0,200.0,200.0,3,1,364,1,3.0,Particulier,-0.9118185047428488,-0.6913033892382433,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1247056,3954.0,201.5,300.0,56.0,24,4,29,4,6.0,Particulier,0.0868573416765686,0.5359546335271268,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1247121,9838.536,750.6199999999999,987.414,277.032,15,3,69,3,5.0,Professional,-0.06401006544490999,-0.06845425224892046,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1247169,15101.475,248.84949999999998,500.0,55.0,53,10,0,10,5.3,Particulier,1.76193109388615,2.401401173377142,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1247241,2748.0,329.0,400.0,258.0,9,2,155,2,4.5,Professional,-0.526943923042682,-0.3229280209621952,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1247341,3883.652,298.6376666666667,300.0,295.913,13,3,5,3,4.333333333333333,Particulier,-0.2806486548019437,-0.0183629803529511,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1247399,1184.0,25.6,35.0,18.0,49,5,34,5,9.8,Particulier,0.6989754315611201,1.4513752772851154,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1247429,1260.0,180.0,180.0,180.0,7,2,25,2,3.5,Particulier,-0.647567798231976,-0.35606466841099327,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1247434,2400.0,225.0,300.0,150.0,13,2,203,2,6.5,Professional,-0.4451086787286283,-0.12427587468220555,0,Client Cluster HC 1,0,Client Cluster KMeans 1
